iter	Passed	Remaining
0	3	3409
1	5	2724
2	8	2864
3	11	2945
4	16	3246
5	19	3221
6	21	3071
7	23	2865
8	24	2728
9	26	2614
10	27	2444
11	28	2342
12	29	2243
13	30	2155
14	31	2064
15	32	1969
16	32	1899
17	33	1829
18	34	1773
19	35	1722
20	35	1671
21	36	1624
22	37	1581
23	37	1542
24	38	1505
25	39	1472
26	39	1439
27	40	1406
28	41	1377
29	41	1348
30	42	1322
31	42	1294
32	43	1271
33	43	1249
34	44	1227
35	45	1206
36	45	1183
37	45	1164
38	46	1146
39	47	1129
40	47	1112
41	48	1096
42	48	1082
43	49	1066
44	49	1048
45	49	1034
46	50	1020
47	50	1007
48	51	995
49	51	982
50	52	971
51	52	960
52	53	949
53	53	939
54	54	928
55	54	918
56	54	908
57	55	899
58	55	890
59	56	880
60	56	872
61	57	863
62	57	855
63	57	846
64	58	839
65	58	831
66	59	824
67	59	817
68	60	810
69	60	804
70	60	796
71	61	790
72	61	784
73	62	778
74	62	772
75	63	766
76	63	760
77	63	754
78	64	749
79	64	744
80	65	739
81	65	735
82	66	730
83	66	725
84	66	720
85	67	716
86	67	711
87	68	707
88	68	703
89	69	699
90	69	695
91	70	691
92	70	687
93	70	683
94	71	680
95	71	676
96	72	672
97	72	669
98	72	664
99	73	660
100	73	657
101	74	654
102	74	649
103	74	645
104	75	642
105	75	639
106	76	636
107	76	633
108	77	630
109	77	626
110	77	624
111	78	621
112	78	618
113	79	615
114	79	613
115	80	610
116	80	608
117	81	605
118	81	602
119	81	599
120	82	597
121	82	594
122	83	592
123	83	589
124	83	587
125	84	584
126	84	582
127	85	580
128	85	578
129	86	575
130	86	573
131	86	571
132	87	569
133	87	567
134	88	565
135	88	563
136	89	561
137	89	559
138	90	557
139	90	555
140	90	553
141	91	551
142	91	549
143	92	548
144	92	546
145	93	544
146	93	542
147	93	540
148	94	539
149	94	537
150	95	535
151	95	534
152	96	532
153	96	530
154	97	529
155	97	527
156	97	525
157	98	524
158	98	522
159	99	521
160	99	519
161	100	517
162	100	516
163	101	514
164	101	513
165	101	511
166	102	510
